event_id,user_id,mode,game_name,learning_time_ms,number_range,start,end,skill_id,type
0,1,NORMAL,Subitizing,8835.0,R10,2022-11-02T08:39:12.355Z,2022-11-02T08:39:25.130Z,1.0,task
1,1,NORMAL,Conversion,21167.0,R10,2022-11-11T10:26:27.893Z,2022-11-11T10:26:49.260Z,4.0,task
2,1,NORMAL,Conversion,11182.0,R10,2022-11-18T10:34:01.044Z,2022-11-18T10:34:12.423Z,7.0,task
3,1,NORMAL,Landing,6823.0,R10,2022-11-25T10:32:43.428Z,2022-11-25T10:32:56.986Z,19.0,task
4,1,END_OF_NR,Conversion,9107.0,R10,2022-12-02T10:44:40.555Z,2022-12-02T10:44:49.874Z,7.0,task
5,1,END_OF_NR,Conversion,10703.0,R10,2022-12-09T10:12:16.068Z,2022-12-09T10:12:26.984Z,4.0,task
6,1,NORMAL,Comparison,1383.0,R20,2022-12-16T10:25:42.441Z,2022-12-16T10:25:45.508Z,33.0,task
7,1,END_OF_NR,Landing,6052.0,R20,2023-01-20T10:13:41.496Z,2023-01-20T10:13:49.096Z,50.0,task
8,1,END_OF_NR,Landing,6055.0,R20,2023-01-27T10:18:17.427Z,2023-01-27T10:18:26.356Z,49.0,task
9,1,END_OF_NR,Estimation on Number Line,10541.0,R20,2023-02-03T10:20:25.581Z,2023-02-03T10:20:38.687Z,39.0,task
10,1,END_OF_NR,Distance,16811.0,R20,2023-02-07T11:38:58.002Z,2023-02-07T11:39:17.950Z,45.0,task
11,1,END_OF_NR,Landing,6053.0,R20,2023-02-09T10:23:32.076Z,2023-02-09T10:23:39.868Z,50.0,task
12,2,NORMAL,Subitizing,4636.0,R10,2022-09-07T07:54:24.504Z,2022-09-07T07:55:21.124Z,1.0,task
13,2,NORMAL,Subitizing,3366.0,R10,2022-09-13T09:03:49.380Z,2022-09-13T09:03:56.020Z,1.0,task
14,2,NORMAL,Subitizing,4702.0,R10,2022-09-14T07:24:47.741Z,2022-09-14T07:24:55.085Z,1.0,task
15,2,NORMAL,Subitizing,13810.0,R10,2022-09-14T07:30:10.789Z,2022-09-14T07:30:43.336Z,1.0,task
16,2,NORMAL,Conversion,11317.0,R10,2022-09-15T07:18:49.934Z,2022-09-15T07:19:04.399Z,3.0,task
18,2,NORMAL,Conversion,24022.0,R10,2022-09-27T08:55:34.601Z,2022-09-27T08:56:06.299Z,3.0,task
